id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,testStation,lastCommunicationTime
284,Greenwich Ave & 8 Ave,16,43,40.7390169121,-74.0026376103,In Service,1,26,Greenwich Ave & 8 Ave,False,2016-01-22 16:31:12
285,Broadway & E 14 St,36,47,40.73454567,-73.99074142,In Service,1,10,Broadway & E 14 St,False,2016-01-22 16:31:31
289,Monroe St & Classon Ave,13,19,40.6845683,-73.95881081,In Service,1,6,Monroe St & Classon Ave,False,2016-01-22 16:30:06
291,Madison St & Montgomery St,20,20,40.713126,-73.984844,In Service,1,0,Madison St & Montgomery St,False,2016-01-22 16:29:15
293,Lafayette St & E 8 St,42,55,40.73028666,-73.9907647,In Service,1,10,Lafayette St & E 8 St,False,2016-01-22 16:32:19
295,Pike St & E Broadway,24,24,40.71406667,-73.99293911,In Service,1,0,Pike St & E Broadway,False,2016-01-22 16:29:05
296,Division St & Bowery,6,35,40.71413089,-73.9970468,In Service,1,27,Division St & Bowery,False,2016-01-22 16:32:10
297,E 15 St & 3 Ave,21,27,40.734232,-73.986923,In Service,1,6,E 15 St & 3 Ave,False,2016-01-22 16:29:03
298,3 Ave & Schermerhorn St,14,35,40.68683208,-73.9796772,In Service,1,21,3 Ave & Schermerhorn St,False,2016-01-22 16:31:19
300,Shevchenko Pl & E 7 St,42,55,40.728145,-73.990214,In Service,1,11,Shevchenko Pl & E 7 St,False,2016-01-22 16:32:46
301,E 2 St & Avenue B,35,37,40.72217444,-73.98368779,In Service,1,1,E 2 St & Avenue B,False,2016-01-22 16:31:27
302,Avenue D & E 3 St,23,23,40.72082834,-73.97793172,In Service,1,0,Avenue D & E 3 St,False,2016-01-22 16:30:29
303,Mercer St & Spring St,10,31,40.72362738,-73.99949601,In Service,1,21,Mercer St & Spring St,False,2016-01-22 16:32:02
304,Broadway & Battery Pl,7,36,40.70463334,-74.01361706,In Service,1,27,Broadway & Battery Pl,False,2016-01-22 16:31:14
305,E 58 St & 3 Ave,13,33,40.76095756,-73.96724467,In Service,1,19,E 58 St & 3 Ave,False,2016-01-22 16:32:28
306,Cliff St & Fulton St,10,37,40.70823502,-74.00530063,In Service,1,25,Cliff St & Fulton St,False,2016-01-22 16:30:46
307,Canal St & Rutgers St,27,29,40.71427487,-73.98990025,In Service,1,2,Canal St & Rutgers St,False,2016-01-22 16:31:44
308,St James Pl & Oliver St,21,27,40.71307916,-73.99851193,In Service,1,3,St James Pl & Oliver St,False,2016-01-22 16:31:38
309,Murray St & West St,4,41,40.7149787,-74.013012,In Service,1,37,Murray St & West St,False,2016-01-22 16:30:43
310,State St & Smith St,22,36,40.68926942,-73.98912867,In Service,1,12,State St & Smith St,False,2016-01-22 16:29:51
311,Norfolk St & Broome St,26,31,40.7172274,-73.98802084,In Service,1,5,Norfolk St & Broome St,False,2016-01-22 16:30:04
312,Allen St & E Houston St,26,31,40.722055,-73.989111,In Service,1,5,Allen St & E Houston St,False,2016-01-22 16:29:33
313,Washington Ave & Park Ave,1,23,40.69610226,-73.96751037,In Service,1,22,Washington Ave & Park Ave,False,2016-01-22 16:32:20
314,Cadman Plaza West & Montague St,20,39,40.69383,-73.990539,In Service,1,18,Cadman Plaza West & Montague St,False,2016-01-22 16:30:34
315,South St & Gouverneur Ln,6,29,40.70355377,-74.00670227,In Service,1,23,South St & Gouverneur Ln,False,2016-01-22 16:31:34
316,Fulton St & William St,10,43,40.70955958,-74.00653609,In Service,1,32,Fulton St & William St,False,2016-01-22 16:28:58
317,E 6 St & Avenue B,17,27,40.72453734,-73.98185424,In Service,1,10,E 6 St & Avenue B,False,2016-01-22 16:32:47
319,Fulton St & Broadway,9,33,40.711066,-74.009447,In Service,1,23,Fulton St & Broadway,False,2016-01-22 16:30:28
320,Leonard St & Church St,4,39,40.717571,-74.005549,In Service,1,35,Leonard St & Church St,False,2016-01-22 16:31:31
321,Cadman Plaza E & Red Cross Pl,9,27,40.69991755,-73.98971773,In Service,1,17,Cadman Plaza E & Red Cross Pl,False,2016-01-22 16:29:44
322,Clinton St & Tillary St,23,31,40.696192,-73.991218,In Service,1,7,Clinton St & Tillary St,False,2016-01-22 16:31:22
323,Lawrence St & Willoughby St,3,39,40.69236178,-73.98631746,In Service,1,35,Lawrence St & Willoughby St,False,2016-01-22 16:29:08
324,DeKalb Ave & Hudson Ave,19,51,40.689888,-73.981013,In Service,1,32,DeKalb Ave & Hudson Ave,False,2016-01-22 16:32:22
325,E 19 St & 3 Ave,34,35,40.73624527,-73.98473765,In Service,1,1,E 19 St & 3 Ave,False,2016-01-22 16:32:00
326,E 11 St & 1 Ave,27,27,40.72953837,-73.98426726,In Service,1,0,E 11 St & 1 Ave,False,2016-01-22 16:29:08
327,Vesey Pl & River Terrace,20,39,40.7153379,-74.01658354,In Service,1,18,Vesey Pl & River Terrace,False,2016-01-22 16:32:29
328,Watts St & Greenwich St,9,23,40.72405549,-74.00965965,In Service,1,13,Watts St & Greenwich St,False,2016-01-22 16:30:53
